page;compartiment;selecteur;avant_plan;arriere_plan;ratio;seuil_attendu;taille_px;graisse;extrait
accueil;conforme;#welcome-heading;#1a1a1a;#ffffff;17,4;3:1;30.0pt (40px);bold;<h1 class="welcome__greeting" id="welcome-heading">Bonjour,</h1>
accueil;conforme;p;#1a1a1a;#ffffff;17,4;3:1;15.0pt (20px);bold;<p class="welcome__question"> Souhaitez-vous consommer votre menu <strong>sur place</strong><br> ou 
accueil;conforme;strong:nth-child(1);#1a1a1a;#ffffff;17,4;3:1;15.0pt (20px);bold;<strong>sur place</strong>
accueil;conforme;strong:nth-child(3);#1a1a1a;#ffffff;17,4;3:1;15.0pt (20px);bold;<strong>l'emporter</strong>
accueil;conforme;a[href="categories.html?mode=sur-place"] > .choice-btn__label;#1a1a1a;#ffffff;17,4;3:1;18.0pt (24px);bold;<span class="choice-btn__label">Sur Place</span>
accueil;conforme;a[aria-label="Commander à emporter"] > .choice-btn__label;#1a1a1a;#ffffff;17,4;3:1;18.0pt (24px);bold;<span class="choice-btn__label">À Emporter</span>
accueil;conforme;.a11y-toggle__icon;#1a1a1a;#ffffff;17,4;3:1;15.0pt (20px);bold;<span class="a11y-toggle__icon" aria-hidden="true">Aa</span>
accueil;conforme;.a11y-toggle__label;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<span class="a11y-toggle__label">Police adaptée</span>
admin-caisse-composeur-menu;conforme;.topbar-user-avatar;#ffc72c;#1a1a1a;11,15;4.5:1;9.8pt (13px);bold;<div class="topbar-user-avatar">WA</div>
admin-caisse-composeur-menu;conforme;.topbar-user-name;#1a1a1a;#ffffff;17,4;4.5:1;10.5pt (14px);bold;<div class="topbar-user-name">Wakdo Admin</div>
admin-caisse-composeur-menu;conforme;.topbar-user-role;#69707d;#ffffff;4,98;4.5:1;8.3pt (11px);normal;<div class="topbar-user-role">Administrateur</div>
admin-caisse-composeur-menu;conforme;.sidebar-brand-name;#1a1a1a;#ffffff;17,4;3:1;15.8pt (21px);bold;<span class="sidebar-brand-name">Wak<span>do</span></span>
admin-caisse-composeur-menu;conforme;.sidebar-brand-name > span;#ae7f09;#ffffff;3,59;3:1;15.8pt (21px);bold;<span>do</span>
admin-caisse-composeur-menu;conforme;.sidebar-section:nth-child(2) > .sidebar-section-label;#69707d;#ffffff;4,98;4.5:1;8.3pt (11px);bold;<div class="sidebar-section-label">Vue d'ensemble</div>
